6,499
681,195
536,423
176,874
899,185
195,315
888,735
220,896
35,434
859,128
491,982
2,375
316,791
215,945
906,831
853,445
896,698
99,478
443,323
265,584
658,650
638,223
199,328
751,266
822,170
164,961
317,550
449,291
323,762
427,154
227,329
850,201
174,704
565,657
150,803
490,60
352,497
810,195
918,382
707,330
214,303
213,140
732,722
695,29
663,894
437,316
327,535
404,853
228,784
300,532
7,369
636,566
88,821
487,22
222,842
141,28
498,960
401,490
338,220
223,215
302,165
28,655
643,599
752,608
594,402
572,743
560,513
835,764
880,561
890,366
193,485
843,361
497,208
