807,430
49,285
729,600
559,193
915,757
550,676
796,99
972,120
740,380
255,922
699,948
251,857
256,306
827,471
861,414
150,171
471,848
676,989
638,862
458,352
287,140
574,786
941,246
54,239
181,814
511,479
967,371
11,223
396,534
525,855
413,988
795,845
198,906
836,979
803,181
266,238
254,56
506,584
351,898
867,401
861,278
181,669
963,739
209,979
881,369
557,62
183,384
112,569
172,588
299,102
241,551
111,780
88,455
283,639
822,170
565,113
811,240
817,367
555,217
715,335
51,619
838,624
130,431
589,230
532,841
602,642
689,390
453,206
846,648
466,136
852,104
854,14
91,132
615,671
75,280
851,842
328,961
834,238
475,726
113,681
208,105
39,331
520,955
951,397
515,830
